,Losses
0,0.6564043164253235
1,0.6849063634872437
2,0.7034251689910889
3,0.6697207093238831
4,0.68243807554245
5,0.6704904437065125
6,0.9598555564880372
7,0.7003108859062195
8,0.7208204865455627
9,0.6998900175094604
10,0.6926672458648682
11,0.6853125691413879
12,0.7007989883422852
13,0.8032879829406738
14,0.675258457660675
15,0.919495165348053
16,0.6952689290046692
17,0.6773450970649719
18,0.6991130709648132
19,0.7306241989135742
20,0.7269161343574524
21,0.6919947266578674
22,0.6919232606887817
23,0.6742677688598633
24,0.6611430048942566
25,0.7028501629829407
26,0.7851075530052185
27,0.6838782429695129
28,0.6905689835548401
29,0.7077387571334839
30,0.6593966484069824
31,0.6794661283493042
32,0.6703046560287476
33,0.6598056554794312
34,0.657522976398468
35,0.6670052409172058
36,0.7492485046386719
37,0.6241975426673889
38,0.6388188004493713
39,0.6662094593048096
40,0.6024842262268066
41,0.5966707468032837
42,0.636462926864624
43,0.5992064476013184
44,0.564511775970459
45,0.5812618136405945
46,0.5636274814605713
47,0.5362506508827211
48,0.5745769143104553
49,0.5539142489433289
50,0.5862615704536438
51,0.5522848963737488
52,0.4845221638679504
53,0.5554898381233215
54,0.3991950750350952
55,0.4646208882331848
56,0.5296671390533447
57,0.4409745335578919
58,0.4383834302425385
59,0.4441591501235962
60,0.4909442961215973
61,0.4312974214553833
62,0.468887597322464
63,0.36377784609794617
64,0.4133625328540802
65,0.4191068112850189
66,0.3896448314189911
67,0.524963915348053
68,0.32230740785598755
69,0.3865832388401032
70,0.2525911331176758
71,0.414940357208252
72,0.3298707902431488
73,0.6817635297775269
74,0.400153785943985
75,0.1843472719192505
76,0.4978167116641998
77,0.3850158452987671
78,0.2734092473983765
79,0.2410096973180771
80,0.5362049341201782
81,0.4484173953533173
82,0.4861087501049042
83,0.35276859998703003
84,0.5076056718826294
85,0.4031497240066528
86,0.5131354331970215
87,0.3114364743232727
88,0.455401062965393
89,0.4576615691184998
90,0.5695043206214905
91,0.4176153540611267
92,0.5506298542022705
93,0.2856466472148895
94,0.4884332716464996
95,0.2939683496952057
96,0.3136411011219025
97,0.3890680372714996
98,0.16715766489505768
99,0.19775961339473724
100,0.2731274962425232
101,0.5467647314071655
102,0.3982467651367188
103,0.4066023826599121
104,0.27343884110450745
105,0.24433885514736176
106,0.34946131706237793
107,0.1810766309499741
108,0.19766119122505188
109,0.25423750281333923
110,0.4259461164474487
111,0.3366921842098236
112,0.3778346478939056
113,0.34143802523612976
114,0.4095320999622345
115,0.28712910413742065
116,0.3441436290740967
117,0.22586549818515775
118,0.20691002905368805
119,0.3430038094520569
120,0.3354504406452179
121,0.3855777382850647
122,0.2491382211446762
123,0.29664042592048645
124,0.2784932255744934
125,0.2626994252204895
126,0.246940478682518
127,0.2850152850151062
128,0.2548902034759521
129,0.2862665951251984
130,0.18380658328533173
131,0.3448258638381958
132,0.2810391187667847
133,0.15451094508171082
134,0.2824757695198059
135,0.2816209197044373
136,0.2675451636314392
137,0.3194712400436401
138,0.2710683345794678
139,0.3563044965267181
140,0.3370541036128998
141,0.2741032838821411
142,0.2812696993350983
143,0.30787062644958496
144,0.3991233706474304
145,0.3734159469604492
146,0.2536034882068634
147,0.3170572519302368
148,0.3502483665943146
149,0.3925204575061798
150,0.2447984367609024
151,0.3532603085041046
152,0.2910188436508179
153,0.29451346397399897
154,0.1804608851671219
155,0.1988458186388016
156,0.232098400592804
157,0.2026219666004181
158,0.30382540822029114
159,0.21465547382831573
160,0.243440255522728
161,0.1831873059272766
162,0.3278860151767731
163,0.11758533120155334
164,0.16444092988967896
165,0.238839253783226
166,0.2779239118099213
167,0.21605433523654935
168,0.1380440592765808
169,0.4309161007404328
170,0.3036127686500549
171,0.2495113611221313
172,0.295756995677948
173,0.4098114371299744
174,0.12003836780786516
175,0.24836984276771545
176,0.3805294036865233
177,0.2995242178440094
178,0.2100309282541275
179,0.4138919711112976
180,0.16602829098701474
181,0.15502947568893433
182,0.2461341619491577
183,0.3793871402740479
184,0.19617223739624026
185,0.18466544151306152
186,0.14946115016937256
187,0.1774916797876358
188,0.2601663470268249
189,0.26341548562049866
190,0.3311997652053833
191,0.7599318027496338
192,0.2380217015743256
193,0.10199963301420213
194,0.21799185872077945
195,0.3072290122509003
196,0.2433557510375977
197,0.25602787733078003
198,0.1641625314950943
199,0.2954109907150269
200,0.22009742259979248
201,0.2115059792995453
202,0.23155534267425534
203,0.2587985098361969
204,0.38014593720436096
205,0.13127855956554413
206,0.2955574691295624
207,0.2161237597465515
208,0.3756557404994965
209,0.4048115015029907
210,0.09454380720853807
211,0.21896164119243625
212,0.25072193145751953
213,0.2505018413066864
214,0.2781117558479309
215,0.14255104959011078
216,0.15608564019203186
217,0.1524500995874405
218,0.22183848917484286
219,0.11390499025583267
220,0.3347088992595673
221,0.2405172437429428
222,0.3591534495353699
223,0.2939349710941315
224,0.3410454988479614
225,0.11047817766666412
226,0.3993426263332367
227,0.21950344741344446
228,0.4482607543468475
229,0.17673641443252566
230,0.3440881073474884
231,0.2618311643600464
232,0.3638178706169128
233,0.10339846462011336
234,0.27561816573143005
235,0.3587265312671661
236,0.18550552427768707
237,0.1560686081647873
238,0.1574922651052475
239,0.16318054497241974
240,0.11596137285232545
241,0.2069857567548752
242,0.11312111467123033
243,0.18180567026138306
244,0.09277864545583724
245,0.22027601301670074
246,0.2634589672088623
247,0.14994186162948608
248,0.272352933883667
249,0.3503949344158173
250,0.13463343679904938
251,0.2084524929523468
252,0.22183258831501007
253,0.08074674755334854
254,0.10053912550210953
255,0.2719932496547699
256,0.397067129611969
257,0.14411982893943787
258,0.17711572349071505
259,0.17727041244506836
260,0.12247871607542038
261,0.26063114404678345
262,0.14990085363388062
263,0.27590328454971313
264,0.3353445827960968
265,0.2335718274116516
266,0.2777534127235413
267,0.2760707139968872
268,0.16927838325500488
269,0.16437484323978424
270,0.15035846829414368
271,0.2244873642921448
272,0.2316314280033112
273,0.19486910104751587
274,0.2649923861026764
275,0.08421564847230911
276,0.08914551138877869
277,0.09393277764320374
278,0.18551157414913175
279,0.18242371082305908
280,0.20265555381774905
281,0.36809679865837097
282,0.2719423770904541
283,0.10568983107805252
284,0.08605927973985672
285,0.09863093495368958
286,0.3329963684082031
287,0.20371830463409424
288,0.13203683495521545
289,0.10774144530296326
290,0.1856432855129242
291,0.340765118598938
292,0.17698504030704498
293,0.1533222645521164
294,0.08170504122972487
295,0.14837178587913513
296,0.08875030279159546
297,0.0656769648194313
298,0.1672537624835968
299,0.23486283421516416
300,0.1058323085308075
301,0.05736227333545685
302,0.1004522070288658
303,0.2216378152370453
304,0.06345479190349579
305,0.160211980342865
306,0.06283283233642578
307,0.06157852709293365
308,0.07459316402673721
309,0.09136531502008438
310,0.19424273073673248
311,0.17154258489608765
312,0.2441328316926956
313,0.3206266462802887
314,0.12422937899827954
315,0.03592311590909958
316,0.1693362444639206
317,0.07155541330575943
318,0.11314933747053145
319,0.24825650453567505
320,0.1625223159790039
321,0.05172637850046158
322,0.0864826887845993
323,0.1597372442483902
324,0.3705230951309204
325,0.04180004820227623
326,0.07930859923362732
327,0.2911916077136993
328,0.07528093457221985
329,0.06605807691812515
330,0.06372183561325072
331,0.2291279882192612
332,0.36548009514808655
333,0.11643362045288085
334,0.17854227125644684
335,0.16566528379917145
336,0.17234911024570465
337,0.04132957383990288
338,0.18171268701553345
339,0.1465802639722824
340,0.09923266619443892
341,0.392890989780426
342,0.186100035905838
343,0.0923466607928276
344,0.14523477852344513
345,0.04787753149867058
346,0.10061347484588624
347,0.18566566705703733
348,0.12695738673210144
349,0.16113261878490448
350,0.286892831325531
351,0.06374217569828032
352,0.1450413167476654
353,0.2374964952468872
354,0.08615145832300186
355,0.15802320837974548
356,0.03504320979118347
357,0.041425932198762894
358,0.09657180309295654
359,0.07929237931966783
360,0.08007466048002243
361,0.08980129659175873
362,0.13917545974254608
363,0.2752501964569092
364,0.08899211883544922
365,0.381907731294632
366,0.3653333783149719
367,0.06940539181232452
368,0.2352099716663361
369,0.07892148196697235
370,0.24596524238586426
371,0.07781141996383667
372,0.18457067012786865
373,0.06978566199541092
374,0.10339008271694183
375,0.1335294097661972
376,0.07258962839841843
377,0.10462286323308943
378,0.21346580982208246
379,0.13905315101146698
380,0.11652806401252748
381,0.09237045794725418
382,0.13800576329231262
383,0.10128358006477356
384,0.1897956132888794
385,0.2623925805091858
386,0.05993327870965004
387,0.06019120290875435
388,0.13395321369171145
389,0.08742636442184447
390,0.28378674387931824
391,0.10443753004074097
392,0.06113095209002495
393,0.2996470034122467
394,0.05148971825838089
395,0.2114999145269394
396,0.041311491280794144
397,0.2816773056983948
398,0.06287267059087752
399,0.12498916685581207
400,0.1669628620147705
401,0.041896868497133255
402,0.0840761736035347
403,0.02914082817733288
404,0.05183320865035057
405,0.21810077130794525
406,0.19142867624759674
407,0.04301674664020538
408,0.15265244245529175
409,0.10340453684329988
410,0.07663122564554213
411,0.0581400990486145
412,0.21904785931110385
413,0.14525456726551056
414,0.052658751606941216
415,0.07665783911943436
416,0.037261713296175
417,0.05628885328769684
418,0.20473597943782806
419,0.08056434243917465
420,0.07799966633319855
421,0.1302795708179474
422,0.07100160419940947
423,0.2298561036586761
424,0.33517491817474365
425,0.03133334964513779
426,0.10397283732891084
427,0.0712050199508667
428,0.13335779309272766
429,0.07324082404375076
430,0.08324271440505981
431,0.04753550142049789
432,0.17672182619571686
433,0.06694008409976959
434,0.20442278683185575
435,0.17903977632522586
436,0.2533180117607117
437,0.16433656215667725
438,0.022965015843510628
439,0.052918139845132835
440,0.15908783674240112
441,0.054590776562690735
442,0.0457293838262558
443,0.16410328447818756
444,0.05391838029026985
445,0.05378464981913567
446,0.2241741567850113
447,0.1903882771730423
448,0.052144750952720635
449,0.08357453346252441
450,0.06780444830656053
451,0.06530219316482544
452,0.05507579818367958
453,0.0414666160941124
454,0.2712875306606293
455,0.037104565650224686
456,0.03765060380101204
457,0.14885985851287842
458,0.04005555808544159
459,0.10336365550756453
460,0.048524141311645515
461,0.035411909222602844
462,0.044468004256486886
463,0.06615553051233293
464,0.039016928523778915
465,0.030603732913732532
466,0.07210233807563783
467,0.02315268293023109
468,0.027782399207353592
469,0.06073956936597824
470,0.08261766284704207
471,0.1438555121421814
472,0.11289089173078536
473,0.04769502580165863
474,0.11134827136993407
475,0.11781781911849976
476,0.025248870253562927
477,0.02847104892134666
478,0.02375282719731331
479,0.0672939196228981
480,0.5613797307014465
481,0.10057703405618668
482,0.0493154376745224
483,0.03002933412790298
484,0.05479312315583229
485,0.04287873953580856
486,0.026072386652231216
487,0.039594676345586784
488,0.083333320915699
489,0.07237309962511063
490,0.048906181007623666
491,0.2296355813741684
492,0.028318190947175026
493,0.07106944173574448
494,0.036920834332704544
495,0.1175023466348648
496,0.036405470222234726
497,0.04188205301761627
498,0.32403913140296936
499,0.04398137331008911
500,0.16062241792678833
501,0.1549503207206726
502,0.17306667566299438
503,0.17843450605869293
504,0.0744088739156723
505,0.04466210678219795
506,0.1176941767334938
507,0.09200477600097656
508,0.14148306846618652
509,0.12066257745027542
510,0.06553433835506439
511,0.07299617677927017
512,0.06699621677398683
513,0.08989696204662323
514,0.12737420201301575
515,0.1804537922143936
516,0.10735130310058594
517,0.11742698401212692
518,0.05828240141272545
519,0.1876683384180069
520,0.09270570427179337
521,0.1560579240322113
522,0.13702955842018127
523,0.13499458134174347
524,0.14855380356311798
525,0.1158781424164772
526,0.15710072219371796
527,0.12376343458890915
528,0.13365545868873596
529,0.10145923495292664
530,0.10226932168006896
531,0.12941473722457886
532,0.15334659814834595
533,0.22423376142978668
534,0.06207207590341567
535,0.0868731439113617
536,0.05904776230454445
537,0.07273148000240326
538,0.10636988282203674
539,0.15183264017105105
540,0.16419950127601626
541,0.07934955507516861
542,0.08845586329698563
543,0.0406329333782196
544,0.06456953287124634
545,0.12492405623197556
546,0.11548443138599394
547,0.04024883732199669
548,0.0694546028971672
549,0.13909535109996796
550,0.15694162249565125
551,0.1801377385854721
552,0.2375194728374481
553,0.11451870203018187
554,0.07224361598491669
555,0.09253688901662828
556,0.10849449038505554
557,0.14546634256839752
558,0.06611859053373338
559,0.0728226974606514
560,0.14334124326705933
561,0.09921178966760637
562,0.11184094101190567
563,0.015568897128105162
564,0.1509953737258911
565,0.0967845544219017
566,0.1360870748758316
567,0.053229253739118576
568,0.10897237807512283
569,0.09673550724983217
570,0.08080805838108063
571,0.10723832249641417
572,0.1923131048679352
573,0.12550362944602966
574,0.08659332990646362
575,0.10298660397529602
576,0.11773807555437088
577,0.08562096208333969
578,0.0430837944149971
579,0.10605110973119736
580,0.13537821173667908
581,0.18393200635910034
582,0.08295602351427077
583,0.13947759568691254
584,0.08315496891736984
585,0.07687727361917496
586,0.0706135556101799
587,0.09626202285289764
588,0.0575348325073719
589,0.06426949799060823
590,0.11356723308563232
591,0.034751977771520615
592,0.05767906084656715
593,0.12575170397758484
594,0.10703129321336746
595,0.1625862568616867
596,0.11776000261306765
597,0.14829249680042267
598,0.14638611674308774
599,0.03645522519946098
600,0.0714687630534172
601,0.08561208844184875
602,0.094156414270401
603,0.041875995695590966
604,0.06398860365152359
605,0.11666122078895567
606,0.09876567125320436
607,0.108011856675148
608,0.145632803440094
609,0.20409157872200007
610,0.02907398156821728
611,0.08084041625261308
612,0.05262748524546623
613,0.056033581495285034
614,0.06525908410549164
615,0.11140064150094986
616,0.12007813900709152
617,0.10565121471881866
618,0.07691670209169388
619,0.11689747124910355
620,0.037051994353532784
621,0.08546372503042221
622,0.08247727155685425
623,0.052557144314050674
624,0.06721024960279465
625,0.05796559527516365
626,0.11391883343458176
